,timestamp,open,high,low,close,adjusted close,volume,dividend amount
190,2007-05-31,34.48,38.97,34.4,38.17,24.989,69771200,0.0
191,2007-04-30,33.63,35.8,33.49,34.37,22.5012,55277400,0.0
192,2007-03-30,31.15,33.96,30.26,33.69,22.056,62035800,0.0
193,2007-02-28,32.17,34.15,31.24,31.75,20.7859,62754100,0.0
194,2007-01-31,34.99,35.48,31.87,32.0,20.9496,46089400,0.0
195,2006-12-29,31.97,35.69,31.68,34.85,22.8154,47362600,0.0
196,2006-11-30,33.55,35.15,31.71,31.84,20.8449,74111700,0.0
197,2006-10-31,32.5,35.81,32.05,35.6,23.3064,50905200,0.0
198,2006-09-29,32.16,33.402,30.31,32.69,21.4013,55598300,0.0
199,2006-08-31,28.32,32.33,26.96,32.16,21.0544,53617800,0.0
200,2006-07-31,31.74,32.0,27.47,28.44,18.619,60429800,0.0
201,2006-06-30,34.7,35.61,29.84,31.56,20.6615,71029800,0.0
202,2006-05-31,38.55,39.45,33.48,34.89,22.8416,67262100,0.0
203,2006-04-28,37.9,39.54,36.11,38.42,25.1526,42379500,0.0
204,2006-03-31,36.1,38.14,35.75,37.55,24.5831,59893400,0.0
205,2006-02-28,33.8,36.74,33.52,36.0,23.5683,59461700,0.0
206,2006-01-31,33.4,35.25,32.8151,33.91,22.2,54075600,0.0
207,2005-12-30,35.66,36.1,33.09,33.29,21.7941,107817900,0.0
208,2005-11-30,32.01,35.81,31.9,35.66,23.3457,76404500,0.0
209,2005-10-31,32.83,33.3,29.97,32.01,20.9562,59232500,0.0
210,2005-09-30,31.91,34.45,31.88,32.75,21.4406,78593100,0.0
211,2005-08-31,26.23,32.22,25.18,32.16,21.0544,95651200,0.0
212,2005-07-29,23.2,26.63,23.13,26.24,17.1787,40613300,0.0
213,2005-06-30,24.01,25.05,22.95,23.02,15.0706,38431800,0.0
214,2005-05-31,20.75,24.15,20.72,24.01,15.7188,48276200,0.0
215,2005-04-29,22.4,22.53,20.11,20.75,13.5845,54565900,0.0
216,2005-03-31,24.05,24.99,21.76,22.2,14.5338,55682900,0.0
217,2005-02-28,22.01,24.53,21.85,24.0,15.7122,51309100,0.0
218,2005-01-31,24.1,24.18,21.43,22.11,14.4749,50620400,0.0
219,2004-12-31,23.03,24.8,21.18,24.1,15.7777,39154600,0.0
220,2004-11-30,24.95,25.9,21.9,22.89,14.9855,66364700,0.0
221,2004-10-29,21.7,25.3068,21.63,25.06,16.4062,60545900,0.0
222,2004-09-30,20.43,23.6,20.14,21.57,14.1213,52931700,0.0
223,2004-08-31,23.82,24.16,19.51,20.5,13.4208,66425500,0.0
224,2004-07-30,29.12,29.15,22.63,23.81,15.5878,58943900,0.0
225,2004-06-30,25.45,29.68,25.05,29.28,19.1689,64034900,0.0
226,2004-05-28,27.05,27.69,23.8,25.7,16.8252,78831400,0.0
227,2004-04-30,31.63,32.7,26.91,27.01,17.6828,50198500,0.0
228,2004-03-31,34.14,35.0,28.8,31.63,20.7074,76035300,0.0
229,2004-02-27,36.95,37.62,33.2,34.19,22.3833,62356700,0.0
230,2004-01-30,29.25,38.8,28.78,36.86,24.1313,93438300,0.0
231,2003-12-31,28.44,29.42,26.292,29.24,19.1427,48360400,0.0
232,2003-11-28,24.99,29.35,24.97,28.28,18.5142,51873400,0.0
233,2003-10-31,22.15,25.31,21.84,24.92,16.3145,41759900,0.0
234,2003-09-30,24.4,26.48,22.1,22.11,14.4749,52277200,0.0
235,2003-08-29,21.73,25.3,20.31,24.32,15.9217,41007600,0.0
236,2003-07-31,19.46,22.64,19.3,21.73,14.2261,54591500,0.0
237,2003-06-30,19.0,19.95,16.6,19.55,12.7989,46371200,0.0
238,2003-05-30,16.02,18.33,15.48,18.13,11.8693,48586500,0.0
239,2003-04-30,13.18,16.4,13.15,16.02,10.4879,37917700,0.0
240,2003-03-31,13.4,15.0,12.11,13.15,8.609,40406300,0.0
241,2003-02-28,16.48,16.82,11.3,13.2,8.6417,73242000,0.0
242,2003-01-31,18.22,20.3,15.82,16.48,10.789,48482800,0.0
243,2002-12-31,19.75,20.15,16.35,17.96,11.758,43079000,0.0
244,2002-11-29,13.66,19.65,13.19,19.41,12.7072,59182800,0.0
245,2002-10-31,13.25,14.22,10.5,13.75,9.0018,65266900,0.0
246,2002-09-30,13.33,16.08,12.35,13.06,8.5501,61847200,0.0
247,2002-08-30,18.52,18.88,13.33,13.43,8.7923,60147200,0.0
248,2002-07-31,23.45,24.47,16.0,18.88,12.3603,59923400,0.0
249,2002-06-28,26.49,26.55,22.4,23.65,15.4831,49672400,0.0
250,2002-05-31,30.0,31.25,25.45,26.37,17.2638,51988100,0.0
251,2002-04-30,36.8,36.95,29.39,30.05,19.673,63938500,0.0
252,2002-03-28,31.45,38.0,31.4,34.96,22.8874,61726800,0.0
253,2002-02-28,30.22,32.09,24.83,31.15,20.3931,44620200,0.0
